GEOID,STATEFP,CountyMatch,state,CountyClean,id,small_tree_node,large_tree_node,contrib,sub_date,county,zone,soil,above_stories,below_stories,area,age,model,historic,base_year,c_total,source,scope,add_space,p_obj,rehab1,rehab2,rehab3,rehab4,rehab5,rehab6,asbestos,disabled,sys_imp,repair,occup_cond,structure,ext_falling,selected_ints,all_ints,c_struct,uncert_areas,uncert_total,uncert_struct,c_relocation,c_a_e_fees,c_proj_mgr,duration,c_repair,c_asbestos,c_disabled,c_sys_imp,c_nonstruct,plan,base_x,base_y,floor_x,floor_y,story_h,total_h,roofframe,floorframe,diaphragm,cladding,settling,condition_type,column_type,bearing_walls,foundations,long_lateral,tran_lateral,cost_per_sf,timefactor,statefactor,totalfactor,f_c_total,f_c_struct,f_c_relocation,f_c_a_e_fees,f_c_proj_mgr,f_c_repair,f_c_asbestos,f_c_disabled,f_c_sys_imp,f_c_nonstruct,qualityfactor,code_used,special,rehab,stories,bldg_age_now,bldg_age,lnage,age0,bldg_group,bldg_group_dummy,model_dummy,seismicity,seismicity_dummy,zone_dummy,p_obj_dummy,s_p,s_p_dummy,historic_dummy,area_group,IsCity,COUNTYNAME,COUNTYFP,wmean_haz_pga050,mean_haz_pga050,med_haz_pga050,max_haz_pga050,min_haz_pga050,wmean_haz_pga250,mean_haz_pga250,med_haz_pga250,max_haz_pga250,min_haz_pga250,wmean_haz_5hz050,mean_haz_5hz050,med_haz_5hz050,max_haz_5hz050,min_haz_5hz050,wmean_haz_5hz250,mean_haz_5hz250,med_haz_5hz250,max_haz_5hz250,min_haz_5hz250,wmean_haz_1hz050,mean_haz_1hz050,med_haz_1hz050,max_haz_1hz050,min_haz_1hz050,wmean_haz_1hz250,mean_haz_1hz250,med_haz_1hz250,max_haz_1hz250,min_haz_1hz250,state_haz_pga050,state_pop_pga050,state_area_pga050,state_haz_pga250,state_pop_pga250,state_area_pga250,state_haz_5hz050,state_pop_5hz050,state_area_5hz050,state_haz_5hz250,state_pop_5hz250,state_area_5hz250,state_haz_1hz050,state_pop_1hz050,state_area_1hz050,state_haz_1hz250,state_pop_1hz250,state_area_1hz250,county_haz_pga050,county_pop_pga050,county_area_pga050,county_haz_pga250,county_pop_pga250,county_area_pga250,county_haz_5hz050,county_pop_5hz050,county_area_5hz050,county_haz_5hz250,county_pop_5hz250,county_area_5hz250,county_haz_1hz050,county_pop_1hz050,county_area_1hz050,county_haz_1hz250,county_pop_1hz250,county_area_1hz250,zone_pga050,seismicity_pga050,c_ca1993,c_bci1993,c_bci2016,c_bciCA16,c_cci1993,c_cci2016,bci2016,ystruct,ylevel,ytotal,height_dummy,age_dummy,ystruct16,ystruct19,sp_dummy,bp_dummy,bs_dummy
,,,BC,ATLIN,544,10,11,BCHYDRO,1993-07-07,ATLIN,3,S2,1,0,1200,1976,W1,N,1992,10000,S,MIN,,DC,SF,,,,,,N,N,N,N,TR,I,OK,NE,NE,10000,F,P,P,,,,,,,,,,R,50,24,50,24,12,15,W,,W,N,N,G,W,W,SF,SW,SW,8.33,1.0286,1.02968,1.05911,10591.1,10591.1,0,0,0,0,0,0,0,0,5,1990 NBCC (I=1 0 ASSUMED) ,,,1,41,16,2.772588722239781,0,2,2,W1,M,M,3,DC,6,6,N,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10591.1,9384.421845864012,17681.92967954017,35810998.008499995,8518.14223601957,16902.217742028854,1.669508330536032,8.825916666666666,10591.1,8.825916666666666,Low Rise,Post-1970,14.734941399616806,16.016581121000662,,2:DC,
,,,BC,BELLACOOLA,538,10,36,BCHYDRO,1993-07-07,BELLACOOLA,3,S1,1,0,2000,1981,W1,N,1992,2500,S,MIN,,DC,SF,,,,,,N,N,N,N,IP,I,OK,NE,NE,2500,F,P,P,,,,,,,,,,R,65,30,65,30,11,15,W,,W,N,N,G,W,W,M,SW,SW,1.25,1.0286,1.02968,1.05911,2647.79,2647.79,0,0,0,0,0,0,0,0,5,1990 NBCC (I=1 0 ASSUMED) ,,,1,36,11,2.3978952727983707,0,2,2,W1,M,M,3,DC,6,6,N,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2647.775,2346.105461466003,4420.482419885043,8952749.502124999,2129.5355590048925,4225.554435507213,1.669508330536032,1.3238875,2647.775,1.3238875,Low Rise,Post-1970,2.2102412099425215,2.4024871681500994,,2:DC,
,,,BC,BLACKTUSK,520,14,43,BCHYDRO,1993-07-07,BLACKTUSK,5,S1,1,0,820,1965,RM1,N,1993,35500,S,MIN,,IO,BF,EW,,,,,N,N,N,N,TR,I,I,NE,NE,35500,G,P,P,,3000,,,,,,,,R,40,20,40,20,12,12,C,,C,CW,N,G,RM,RM,SF,SW,SW,43.29,1,1.02968,1.02968,36553.8,36553.8,0,3089.05,0,0,0,0,0,0,5,1990 NBCC (I=1 5) ,,,1,52,28,3.332204510175204,0,3,3,RM1,H,H,5,IO,11,11,N,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36553.64,32388.965996152296,61026.60649141512,123596446.94539998,29399.12801920994,58335.544234662644,1.669508330536032,44.57760975609756,36553.64,44.57760975609756,Low Rise,1950-1970,74.42269084318917,80.89594880669775,,3:IO,
,,,BC,BLACKTUSK,521,4,14,BCHYDRO,1993-07-07,BLACKTUSK,5,S1,1,0,820,1965,RM2,N,1993,14500,S,MIN,,LS,EW,,,,,,N,N,N,N,TR,I,I,NE,NE,14500,G,P,P,,,,,,,,,,R,40,20,40,20,12,12,C,,C,CW,N,G,RM,RM,SF,SW,SW,17.68,1,1.02968,1.02968,14930.4,14930.4,0,0,0,0,0,0,0,0,5,NBCC 1990 (I= 75) ,,,1,52,28,3.332204510175204,0,8,8,RM2,H,H,5,LS,3,3,N,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14930.359999999999,13229.295970259387,24926.36039790195,50483055.79459999,12008.094543057581,23827.194124017133,1.669508330536032,18.207756097560974,14930.359999999999,18.207756097560974,Low Rise,1950-1970,30.398000485246282,33.04200725907373,,8:LS,
,,,BC,BOWENISLAND,523,4,11,BCHYDRO,1993-07-07,BOWENISLAND,5,S1,1,0,820,1965,RM1,N,1993,17500,S,MIN,,LS,EW,SD,WT,,,,N,N,N,N,TR,I,I,NE,NE,17500,G,P,P,,,,,,,,,,R,40,20,40,20,12,12,W,,W,M,N,G,RM,RM,SF,SW,SW,21.34,1,1.02968,1.02968,18019.5,18019.5,0,0,0,0,0,0,0,0,5,1990 NBCC (I=0 75),,,1,52,28,3.332204510175204,0,3,3,RM1,H,H,5,LS,3,3,N,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18019.399999999998,15966.391688244088,30083.53841126097,60927825.958999984,14492.527896793632,28756.95842553792,1.669508330536032,21.974878048780486,18019.399999999998,21.974878048780486,Low Rise,1950-1970,36.687241964952406,39.878284623020015,,3:LS,
,,,BC,BOWENISLAND,524,14,43,BCHYDRO,1993-07-07,BOWENISLAND,5,S1,1,0,820,1965,RM1,N,1993,32500,S,MIN,,IO,BF,SD,,,,,N,N,N,N,TR,I,I,NE,NE,32500,G,P,P,,3000,,,,,,,,R,40,20,40,20,12,12,W,,W,M,N,G,RM,RM,SF,SW,SW,39.63,1,1.02968,1.02968,33464.7,33464.7,0,3089.05,0,0,0,0,0,0,5,1990 NBCC (I=1 5) ,,,1,52,28,3.332204510175204,0,3,3,RM1,H,H,5,IO,11,11,N,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33464.6,29651.870278167593,55869.4284780561,113151676.78099999,26914.69466547389,53405.77993314186,1.669508330536032,40.81048780487804,33464.6,40.81048780487804,Low Rise,1950-1970,68.13344936348304,74.05967144275145,,3:IO,
,,,BC,BRUCEPEAK,515,4,11,BCHYDRO,1993-07-07,BRUCEPEAK,6,S1,1,0,820,1967,RM1,N,1993,22000,S,MIN,,LS,EW,SD,WT,,,,N,N,N,N,TR,I,I,NE,NE,22000,G,P,P,,,,,,,,,,R,40,20,40,20,12,12,W,,W,N,N,G,RM,RM,SF,SW,SW,26.83,1,1.02968,1.02968,22653.1,22653.1,0,0,0,0,0,0,0,0,5,1990 NBCC (I=0 75),,,1,50,26,3.258096538021482,0,3,3,RM1,H,H,6,LS,3,3,N,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22652.96,20072.03526522114,37819.305431299515,76594981.2056,18219.177927397708,36151.6048778191,1.669508330536032,27.625560975609755,22652.96,27.625560975609755,Low Rise,1950-1970,46.1211041845116,50.13270066893945,,3:LS,
,,,BC,BRUCEPEAK,516,14,43,BCHYDRO,1993-07-07,BRUCEPEAK,6,S1,1,0,820,1967,RM1,N,1993,38000,S,MIN,,IO,BF,EW,SD,,,,N,N,N,N,TR,I,I,NE,NE,38000,G,P,P,,,,,,,,,,R,40,20,40,20,12,12,W,,W,CW,N,G,RM,RM,SF,SW,SW,46.34,1,1.02968,1.02968,39128,39128,0,0,0,0,0,0,0,0,5,1990 NBCC (I=1 5) ,,,1,50,26,3.258096538021482,0,3,3,RM1,H,H,6,IO,11,11,N,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39127.84,34669.879094472875,65324.25483588097,132300422.08239998,31469.489147323315,62443.681152596626,1.669508330536032,47.71687804878049,39127.84,47.71687804878049,Low Rise,1950-1970,79.66372540961095,86.59284660998632,,3:IO,
,,,BC,BURBY,531,14,43,BCHYDRO,1993-07-07,BUR BY,5,S1,1,0,2526,1951,URM,N,1993,105000,S,MIN,,IO,EW,SD,SF,,,,N,N,N,N,TR,I,I,NE,NE,105000,G,P,P,,10500,,,,,,,,L,81,30,81,30,9.5,9.5,W,,W,N,N,G,C,URM,SF,SW,SW,41.57,1,1.02968,1.02968,108117,108117,0,10811.7,0,0,0,0,0,0,5,1990 NBCC (I=1 5) ,,,1,66,42,3.7376696182833684,0,1,1,URM,H,H,5,IO,11,11,N,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108116.4,95798.35012946454,180501.23046756585,365566955.75399995,86955.16738076179,172541.75055322752,1.669508330536032,42.80142517814727,108116.4,42.80142517814727,Low Rise,1950-1970,71.45733589373154,77.67266838687985,,1:IO,
,,,BC,BURBY,532,14,43,BCHYDRO,1993-07-07,BUR BY,5,S1,1,0,319,1952,URM,N,1993,22000,S,MIN,,IO,EW,SD,SF,,,,N,N,N,N,TR,I,I,NE,NE,22000,G,P,P,,2250,,,,,,,,R,29,11,29,11,9.5,9.5,W,,W,N,N,G,,URM,SF,SW,SW,68.97,1,1.02968,1.02968,22653.1,22653.1,0,2316.79,0,0,0,0,0,0,5,1990 NBCC (I=1 5) ,,,1,65,41,3.713572066704308,0,1,1,URM,H,H,5,IO,11,11,N,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22652.96,20072.03526522114,37819.305431299515,76594981.2056,18219.177927397708,36151.6048778191,1.669508330536032,71.01241379310345,22652.96,71.01241379310345,Low Rise,1950-1970,118.55581639905803,128.8677572054243,,1:IO,
