state,lag_year2,lag_year,seismicity_dummy,p_obj_dummy,GEOID,STATEFP,CountyMatch,CountyClean,id,small_tree_node,large_tree_node,contrib,sub_date,county,zone,soil,above_stories,below_stories,area,age,model,historic,base_year,c_total,source,scope,add_space,p_obj,rehab1,rehab2,rehab3,rehab4,rehab5,rehab6,asbestos,disabled,sys_imp,repair,occup_cond,structure,ext_falling,selected_ints,all_ints,c_struct,uncert_areas,uncert_total,uncert_struct,c_relocation,c_a_e_fees,c_proj_mgr,duration,c_repair,c_asbestos,c_disabled,c_sys_imp,c_nonstruct,plan,base_x,base_y,floor_x,floor_y,story_h,total_h,roofframe,floorframe,diaphragm,cladding,settling,condition_type,column_type,bearing_walls,foundations,long_lateral,tran_lateral,cost_per_sf,timefactor,statefactor,totalfactor,f_c_total,f_c_struct,f_c_relocation,f_c_a_e_fees,f_c_proj_mgr,f_c_repair,f_c_asbestos,f_c_disabled,f_c_sys_imp,f_c_nonstruct,qualityfactor,code_used,special,rehab,stories,bldg_age_now,bldg_age,lnage,age0,bldg_group,bldg_group_dummy,model_dummy,seismicity,zone_dummy,s_p,s_p_dummy,historic_dummy,area_group,IsCity,COUNTYNAME,COUNTYFP,wmean_haz_pga050,mean_haz_pga050,med_haz_pga050,max_haz_pga050,min_haz_pga050,wmean_haz_pga250,mean_haz_pga250,med_haz_pga250,max_haz_pga250,min_haz_pga250,wmean_haz_5hz050,mean_haz_5hz050,med_haz_5hz050,max_haz_5hz050,min_haz_5hz050,wmean_haz_5hz250,mean_haz_5hz250,med_haz_5hz250,max_haz_5hz250,min_haz_5hz250,wmean_haz_1hz050,mean_haz_1hz050,med_haz_1hz050,max_haz_1hz050,min_haz_1hz050,wmean_haz_1hz250,mean_haz_1hz250,med_haz_1hz250,max_haz_1hz250,min_haz_1hz250,state_haz_pga050,state_pop_pga050,state_area_pga050,state_haz_pga250,state_pop_pga250,state_area_pga250,state_haz_5hz050,state_pop_5hz050,state_area_5hz050,state_haz_5hz250,state_pop_5hz250,state_area_5hz250,state_haz_1hz050,state_pop_1hz050,state_area_1hz050,state_haz_1hz250,state_pop_1hz250,state_area_1hz250,county_haz_pga050,county_pop_pga050,county_area_pga050,county_haz_pga250,county_pop_pga250,county_area_pga250,county_haz_5hz050,county_pop_5hz050,county_area_5hz050,county_haz_5hz250,county_pop_5hz250,county_area_5hz250,county_haz_1hz050,county_pop_1hz050,county_area_1hz050,county_haz_1hz250,county_pop_1hz250,county_area_1hz250,zone_pga050,seismicity_pga050,c_ca1993,c_bci1993,c_bci2016,c_bciCA16,c_cci1993,c_cci2016,bci2016,avg_c,lag_c,lag_c2,lag_c12,height_dummy,age_dummy,p_obj2,state_name,HazusRegion,fips,CensusRegion,CensusRegionNumber,CensusDivision,fold_id,ytrue,ystruct,ytotal,logy,logys,logyt,ylevel,ystruct16,ystruct19,sp_dummy,bp_dummy,bs_dummy
AL,1973,1974,L,DC,01073,01,JEFFERSON,JEFFERSON,1,12,32,VA,1993-07-28,JEFFERSON,2,S3,5,0,30000,1965,C3,N,1975,25800,S,MIN,,DC,EW,,,,,,N,N,N,N,TR,I,OK,I,NE,23470,G,P,P,,,,,0,0,0,0,2330,R,140,50,140,50,12,75,C,C,C,M,N,G,C,,P,SW,SW,0.78,2.232,1.34872,3.01036,77667.3,70653.2,0,0,0,0,0,0,0,7014.14,5,VA H-08-8 ,,,5,52,10,2.302585092994046,0,4,4,C3,L,2,5,5,N,Medium,0,Jefferson County,073,5,5,5,5,5,16,16,16,18,14,10,10,10,10,10,26,26,26,28,24,3,3,3,3,3,8,8,8,8,8,3.5800906741523986,5415816,135767386777.95515,10.814588247494703,6195031,135767386781.2501,7.301392187180622,5521080,135767386768.87476,19.51850854869046,5852137,135767387402.17958,2.756247420131013,5062474,135767386770.58336,7.016108534870883,5197623,135767386772.74695,5,658466,2910666642.2894826,16.444102817117713,794096,2910666642.801049,10,658466,2910666642.2894826,27.53517753231322,731021,2910666643.2298217,3,658466,2910666642.2894826,8,658466,2910666642.2894826,2,L,70653.1492,62603.40822309009,117956.02116800519,238894900.93526196,56824.463399298686,112754.5686414491,1.669508330536032,2.5454062069424075,2.803584399594119,1.748303053350213,4.551887452944332,Mid Rise,1950-1970,LS,Alabama,East,01,South,3,East South Central,3,2.3551049733333334,2.3551049733333334,2.5889096,0.856585301138796,0.856585301138796,0.9512367832034356,70653.1492,3.9318673722668396,4.273859733610156,L:DC,4:DC,4:L
AL,1973,1974,L,DC,01073,01,JEFFERSON,JEFFERSON,2,12,32,VA,1993-07-28,JEFFERSON,2,S3,2,1,28400,1971,C3,N,1975,28800,S,MIN,,DC,SW,,,,,,N,N,N,N,TR,I,OK,I,NE,25600,G,P,P,,,,,0,0,0,0,3200,L,114,98,114,98,13,26,C,C,C,M,N,G,C,,P,SW,SW,0.9,2.232,1.34872,3.01036,86698.4,77065.2,0,0,0,0,0,0,0,9633.15,5,VA H-08-8 ,,,3,46,4,1.3862943611198906,0,4,4,C3,L,2,5,5,N,Medium,0,Jefferson County,073,5,5,5,5,5,16,16,16,18,14,10,10,10,10,10,26,26,26,28,24,3,3,3,3,3,8,8,8,8,8,3.5800906741523986,5415816,135767386777.95515,10.814588247494703,6195031,135767386781.2501,7.301392187180622,5521080,135767386768.87476,19.51850854869046,5852137,135767387402.17958,2.756247420131013,5062474,135767386770.58336,7.016108534870883,5197623,135767386772.74695,5,658466,2910666642.2894826,16.444102817117713,794096,2910666642.801049,10,658466,2910666642.2894826,27.53517753231322,731021,2910666643.2298217,3,658466,2910666642.2894826,8,658466,2910666642.2894826,2,L,77065.216,68284.92758888395,128661.0201065587,260575605.62175998,61981.51951521288,122987.51415513834,1.669508330536032,2.5454062069424075,2.803584399594119,1.748303053350213,4.551887452944332,Low Rise,Post-1970,LS,Alabama,East,01,South,3,East South Central,8,2.713563943661972,2.713563943661972,3.0527594366197186,0.9982628792563757,0.9982628792563757,1.1160459149127593,77065.216,4.53031760938587,4.9243629497239505,L:DC,4:DC,4:L
AL,1973,1974,L,IO,01073,01,JEFFERSON,JEFFERSON,3,16,44,VA,1993-07-28,JEFFERSON,2,S3,9,0,493000,1952,C3,N,1975,4640000,S,MIN,,IO,SW,PB,,,,,N,N,N,N,TR,I,I,NE,I,4047000,G,P,P,,,,,0,0,0,0,593000,OT,308,255,308,255,11.5,110,C,C,C,M,N,G,C,,P,SW,SW,8.21,2.232,1.34872,3.01036,13968100,12182900,0,0,0,0,0,0,0,1785140,5,VA H-08-8 ,,,9,65,23,3.1354942159291497,0,4,4,C3,L,2,9,9,N,Very Large,0,Jefferson County,073,5,5,5,5,5,16,16,16,18,14,10,10,10,10,10,26,26,26,28,24,3,3,3,3,3,8,8,8,8,8,3.5800906741523986,5415816,135767386777.95515,10.814588247494703,6195031,135767386781.2501,7.301392187180622,5521080,135767386768.87476,19.51850854869046,5852137,135767387402.17958,2.756247420131013,5062474,135767386770.58336,7.016108534870883,5197623,135767386772.74695,5,658466,2910666642.2894826,16.444102817117713,794096,2910666642.801049,10,658466,2910666642.2894826,27.53517753231322,731021,2910666643.2298217,3,658466,2910666642.2894826,8,658466,2910666642.2894826,2,L,12182926.92,10794886.795008333,20339497.983251683,41193338904.3462,9798406.620236974,19442596.476009566,1.669508330536032,3.4561494289893906,2.803584399594119,1.748303053350213,4.551887452944332,High Rise,1950-1970,IO,Alabama,East,01,South,3,East South Central,5,24.71181931034483,24.71181931034483,28.332800000000002,3.2072816437711946,3.2072816437711946,3.34402014411563,12182926.92,41.256588201321875,44.84507089518353,L:IO,4:IO,4:L
AZ,1973,1974,L,DC,04013,04,MARICOPA,MARICOPA,4,1,2,VA,1993-07-26,MARICOPA,1,S2,2,0,15000,1903,URM,N,1975,227750,S,MIN,,DC,SW,SD,WT,,,,N,N,N,N,,I,OK,NE,NE,227750,G,P,P,,,,,,,,,,,,,,,,,W,,W,N,,,,URM,SF,SW,SW,15.18,2.232,1.23608,2.75894,628348,628348,0,0,0,0,0,0,0,0,5,VA H-08 ,,,2,114,72,4.276666119016055,0,1,1,URM,L,1,5,5,N,Medium,0,Maricopa County,013,3,3,3,4,2,9,9,9,12,6,7,7,7,10,4,21.333333333333332,21.333333333333332,22,28,12,3,3,3,4,2,6,6,6,8,4,2.8644866603772394,7247181,295233966968.2988,8.18850146445027,7712434,295233974567.45154,6.769195417053825,7278457,295233977437.709,18.65600308166493,7616217,295233978306.9171,2.237676223358434,6784728,295233966365.972,4.85989688112116,7200545,295233968523.26215,2.541390417726137,4118177,23891119662.425354,7.362441895308154,4248982,23891119818.91651,5.9975644231830705,4004423,23891119670.100365,16.68738033545362,4166741,23891119673.17244,2.0016982646061092,3874137,23891119677.858643,4.123186614071888,4124762,23891119654.85266,1,L,628348.585,556758.8057795451,1049033.197138028,2124594227.8024747,505364.1851017961,1002774.461724063,1.669508330536032,2.5454062069424075,2.803584399594119,1.748303053350213,4.551887452944332,Low Rise,Pre-1950,LS,Arizona,West,04,West,4,Mountain,9,41.889905666666664,41.889905666666664,41.889905666666664,3.7350448830267506,3.7350448830267506,3.7350448830267506,628348.585,69.93554647586853,76.01851429157296,L:DC,1:DC,1:L
AZ,1973,1974,L,DC,04013,04,MARICOPA,MARICOPA,5,1,2,VA,1993-07-28,MARICOPA,1,S2,2,0,34000,1903,URM,N,1975,463900,S,MIN,,DC,SW,SD,WT,,,,N,N,N,N,,I,OK,NE,NE,463900,G,P,P,,,,,,,,,,,,,,,,,W,,W,N,,,,URM,SF,SW,SW,13.64,2.232,1.23608,2.75894,1279870,1279870,0,0,0,0,0,0,0,0,5,VA H-08 ,,,2,114,72,4.276666119016055,0,1,1,URM,L,1,5,5,N,Medium,0,Maricopa County,013,3,3,3,4,2,9,9,9,12,6,7,7,7,10,4,21.333333333333332,21.333333333333332,22,28,12,3,3,3,4,2,6,6,6,8,4,2.8644866603772394,7247181,295233966968.2988,8.18850146445027,7712434,295233974567.45154,6.769195417053825,7278457,295233977437.709,18.65600308166493,7616217,295233978306.9171,2.237676223358434,6784728,295233966365.972,4.85989688112116,7200545,295233968523.26215,2.541390417726137,4118177,23891119662.425354,7.362441895308154,4248982,23891119818.91651,5.9975644231830705,4004423,23891119670.100365,16.68738033545362,4166741,23891119673.17244,2.0016982646061092,3874137,23891119677.858643,4.123186614071888,4124762,23891119654.85266,1,L,1279872.266,1134052.2941871833,2136757.4101090287,4327548901.328509,1029367.4883368748,2042533.799314129,1.669508330536032,2.5454062069424075,2.803584399594119,1.748303053350213,4.551887452944332,Low Rise,Pre-1950,LS,Arizona,West,04,West,4,Mountain,10,37.643301941176475,37.643301941176475,37.643301941176475,3.62815503513043,3.62815503513043,3.62815503513043,1279872.266,62.84580617967731,68.31211102187777,L:DC,1:DC,1:L
AZ,1973,1974,L,DC,04013,04,MARICOPA,MARICOPA,6,1,1,VA,1993-07-28,MARICOPA,1,S2,2,0,9000,1903,URM,N,1975,145500,S,MIN,,DC,SW,SD,WT,,,,N,N,N,N,,I,OK,NE,NE,145500,G,P,P,,,,,,,,,,,,,,,,,W,,W,N,,,,URM,SF,SW,SW,16.17,2.232,1.23608,2.75894,401426,401426,0,0,0,0,0,0,0,0,5,VA H-08 ,,,2,114,72,4.276666119016055,0,1,1,URM,L,1,5,5,N,Small,0,Maricopa County,013,3,3,3,4,2,9,9,9,12,6,7,7,7,10,4,21.333333333333332,21.333333333333332,22,28,12,3,3,3,4,2,6,6,6,8,4,2.8644866603772394,7247181,295233966968.2988,8.18850146445027,7712434,295233974567.45154,6.769195417053825,7278457,295233977437.709,18.65600308166493,7616217,295233978306.9171,2.237676223358434,6784728,295233966365.972,4.85989688112116,7200545,295233968523.26215,2.541390417726137,4118177,23891119662.425354,7.362441895308154,4248982,23891119818.91651,5.9975644231830705,4004423,23891119670.100365,16.68738033545362,4166741,23891119673.17244,2.0016982646061092,3874137,23891119677.858643,4.123186614071888,4124762,23891119654.85266,1,L,401425.77,355690.0383794679,670183.6671068412,1357314863.42595,322856.15338007174,640630.8855361193,1.669508330536032,2.5454062069424075,2.803584399594119,1.748303053350213,4.551887452944332,Low Rise,Pre-1950,LS,Arizona,West,04,West,4,Mountain,1,44.60286333333334,44.60286333333334,44.60286333333334,3.797798057264221,3.797798057264221,3.797798057264221,401425.77,74.46485190076014,80.94177701737188,L:DC,1:DC,1:L
AZ,1973,1974,L,DC,04013,04,MARICOPA,MARICOPA,7,1,2,VA,1993-07-28,MARICOPA,1,S2,2,0,20000,1903,URM,N,1975,309000,S,MIN,,DC,SW,SD,WT,,,,N,N,N,N,,I,OK,NE,NE,309000,G,P,P,,,,,,,,,,,,,,,,,W,,W,N,,,,URM,SF,SW,SW,15.45,2.232,1.23608,2.75894,852512,852512,0,0,0,0,0,0,0,0,5,VA H-08 ,,,2,114,72,4.276666119016055,0,1,1,URM,L,1,5,5,N,Medium,0,Maricopa County,013,3,3,3,4,2,9,9,9,12,6,7,7,7,10,4,21.333333333333332,21.333333333333332,22,28,12,3,3,3,4,2,6,6,6,8,4,2.8644866603772394,7247181,295233966968.2988,8.18850146445027,7712434,295233974567.45154,6.769195417053825,7278457,295233977437.709,18.65600308166493,7616217,295233978306.9171,2.237676223358434,6784728,295233966365.972,4.85989688112116,7200545,295233968523.26215,2.541390417726137,4118177,23891119662.425354,7.362441895308154,4248982,23891119818.91651,5.9975644231830705,4004423,23891119670.100365,16.68738033545362,4166741,23891119673.17244,2.0016982646061092,3874137,23891119677.858643,4.123186614071888,4124762,23891119654.85266,1,L,852512.46,755382.9681048493,1423276.6538557657,2882544967.6880994,685653.274188606,1360515.0764993874,1.669508330536032,2.5454062069424075,2.803584399594119,1.748303053350213,4.551887452944332,Low Rise,Pre-1950,LS,Arizona,West,04,West,4,Mountain,6,42.625623,42.625623,42.625623,3.752455551332648,3.752455551332648,3.752455551332648,852512.46,71.16383269278829,77.35363638670486,L:DC,1:DC,1:L
AZ,1973,1974,L,DC,04013,04,MARICOPA,MARICOPA,8,1,1,VA,1993-07-28,MARICOPA,1,S2,2,0,3500,1903,URM,N,1975,56250,S,MIN,,DC,SW,SD,WT,,,,N,N,N,N,,I,OK,NE,NE,56250,G,P,P,,,,,,,,,,,,,,,,,W,,W,N,,,,URM,SF,SW,SW,16.07,2.232,1.23608,2.75894,155190,155190,0,0,0,0,0,0,0,0,5,VA H-08 ,,,2,114,72,4.276666119016055,0,1,1,URM,L,1,5,5,N,Small,0,Maricopa County,013,3,3,3,4,2,9,9,9,12,6,7,7,7,10,4,21.333333333333332,21.333333333333332,22,28,12,3,3,3,4,2,6,6,6,8,4,2.8644866603772394,7247181,295233966968.2988,8.18850146445027,7712434,295233974567.45154,6.769195417053825,7278457,295233977437.709,18.65600308166493,7616217,295233978306.9171,2.237676223358434,6784728,295233966365.972,4.85989688112116,7200545,295233968523.26215,2.541390417726137,4118177,23891119662.425354,7.362441895308154,4248982,23891119818.91651,5.9975644231830705,4004423,23891119670.100365,16.68738033545362,4166741,23891119673.17244,2.0016982646061092,3874137,23891119677.858643,4.123186614071888,4124762,23891119654.85266,1,L,155190.375,137509.03545597984,259091.62388151078,524735127.61312497,124815.52321394526,247666.57945983994,1.669508330536032,2.5454062069424075,2.803584399594119,1.748303053350213,4.551887452944332,Low Rise,Pre-1950,LS,Arizona,West,04,West,4,Mountain,9,44.34010714285714,44.34010714285714,44.34010714285714,3.7918896205780546,3.7918896205780546,3.7918896205780546,155190.375,74.02617825186022,80.46494769768191,L:DC,1:DC,1:L
AZ,1973,1974,L,DC,04013,04,MARICOPA,MARICOPA,9,1,1,VA,1993-07-28,MARICOPA,1,S2,2,0,4800,1903,URM,N,1975,76000,S,MIN,,DC,SW,SD,WT,,,,N,N,N,N,,I,OK,NE,NE,76000,G,P,P,,,,,,,,,,,,,,,,,W,,W,N,,,,URM,SF,SW,SW,15.83,2.232,1.23608,2.75894,209679,209679,0,0,0,0,0,0,0,0,5,VA H-08 ,,,2,114,72,4.276666119016055,0,1,1,URM,L,1,5,5,N,Small,0,Maricopa County,013,3,3,3,4,2,9,9,9,12,6,7,7,7,10,4,21.333333333333332,21.333333333333332,22,28,12,3,3,3,4,2,6,6,6,8,4,2.8644866603772394,7247181,295233966968.2988,8.18850146445027,7712434,295233974567.45154,6.769195417053825,7278457,295233977437.709,18.65600308166493,7616217,295233978306.9171,2.237676223358434,6784728,295233966365.972,4.85989688112116,7200545,295233968523.26215,2.541390417726137,4118177,23891119662.425354,7.362441895308154,4248982,23891119818.91651,5.9975644231830705,4004423,23891119670.100365,16.68738033545362,4166741,23891119673.17244,2.0016982646061092,3874137,23891119677.858643,4.123186614071888,4124762,23891119654.85266,1,L,209679.44,185789.9856827461,350061.5718221301,708975461.3083999,168639.64025350826,334625.0673590726,1.669508330536032,2.5454062069424075,2.803584399594119,1.748303053350213,4.551887452944332,Low Rise,Pre-1950,LS,Arizona,West,04,West,4,Mountain,6,43.68321666666667,43.68321666666667,43.68321666666667,3.776963970361379,3.776963970361379,3.776963970361379,209679.44,72.92949412961043,79.27287439845699,L:DC,1:DC,1:L
AZ,1973,1974,L,DC,04013,04,MARICOPA,MARICOPA,10,1,1,VA,1993-07-28,MARICOPA,1,S2,2,0,2100,1903,URM,N,1975,21200,S,MIN,,DC,SW,SD,WT,,,,N,N,N,N,,I,OK,NE,NE,21200,G,P,P,,,,,,,,,,,,,,,,,W,,W,N,,,,URM,SF,SW,SW,10.1,2.232,1.23608,2.75894,58489.5,58489.5,0,0,0,0,0,0,0,0,5,VA H-08 ,,,2,114,72,4.276666119016055,0,1,1,URM,L,1,5,5,N,Small,0,Maricopa County,013,3,3,3,4,2,9,9,9,12,6,7,7,7,10,4,21.333333333333332,21.333333333333332,22,28,12,3,3,3,4,2,6,6,6,8,4,2.8644866603772394,7247181,295233966968.2988,8.18850146445027,7712434,295233974567.45154,6.769195417053825,7278457,295233977437.709,18.65600308166493,7616217,295233978306.9171,2.237676223358434,6784728,295233966365.972,4.85989688112116,7200545,295233968523.26215,2.541390417726137,4118177,23891119662.425354,7.362441895308154,4248982,23891119818.91651,5.9975644231830705,4004423,23891119670.100365,16.68738033545362,4166741,23891119673.17244,2.0016982646061092,3874137,23891119677.858643,4.123186614071888,4124762,23891119654.85266,1,L,58489.528,51825.627585187074,97648.75424512051,197766839.20707998,47041.583860189145,93342.78194753078,1.669508330536032,2.5454062069424075,2.803584399594119,1.748303053350213,4.551887452944332,Low Rise,Pre-1950,LS,Arizona,West,04,West,4,Mountain,5,27.85215619047619,27.85215619047619,27.85215619047619,3.3269103849374826,3.3269103849374826,3.3269103849374826,58489.528,46.49940678339072,50.543907887136484,L:DC,1:DC,1:L
