state,lag_year2,lag_year,seismicity_dummy,p_obj_dummy,GEOID,STATEFP,CountyMatch,CountyClean,id,small_tree_node,large_tree_node,contrib,sub_date,county,zone,soil,above_stories,below_stories,area,age,model,historic,base_year,c_total,source,scope,add_space,p_obj,rehab1,rehab2,rehab3,rehab4,rehab5,rehab6,asbestos,disabled,sys_imp,repair,occup_cond,structure,ext_falling,selected_ints,all_ints,c_struct,uncert_areas,uncert_total,uncert_struct,c_relocation,c_a_e_fees,c_proj_mgr,duration,c_repair,c_asbestos,c_disabled,c_sys_imp,c_nonstruct,plan,base_x,base_y,floor_x,floor_y,story_h,total_h,roofframe,floorframe,diaphragm,cladding,settling,condition_type,column_type,bearing_walls,foundations,long_lateral,tran_lateral,cost_per_sf,timefactor,statefactor,totalfactor,f_c_total,f_c_struct,f_c_relocation,f_c_a_e_fees,f_c_proj_mgr,f_c_repair,f_c_asbestos,f_c_disabled,f_c_sys_imp,f_c_nonstruct,qualityfactor,code_used,special,rehab,stories,bldg_age_now,bldg_age,lnage,age0,bldg_group,bldg_group_dummy,model_dummy,seismicity,zone_dummy,s_p,s_p_dummy,historic_dummy,area_group,IsCity,COUNTYNAME,COUNTYFP,wmean_haz_pga050,mean_haz_pga050,med_haz_pga050,max_haz_pga050,min_haz_pga050,wmean_haz_pga250,mean_haz_pga250,med_haz_pga250,max_haz_pga250,min_haz_pga250,wmean_haz_5hz050,mean_haz_5hz050,med_haz_5hz050,max_haz_5hz050,min_haz_5hz050,wmean_haz_5hz250,mean_haz_5hz250,med_haz_5hz250,max_haz_5hz250,min_haz_5hz250,wmean_haz_1hz050,mean_haz_1hz050,med_haz_1hz050,max_haz_1hz050,min_haz_1hz050,wmean_haz_1hz250,mean_haz_1hz250,med_haz_1hz250,max_haz_1hz250,min_haz_1hz250,state_haz_pga050,state_pop_pga050,state_area_pga050,state_haz_pga250,state_pop_pga250,state_area_pga250,state_haz_5hz050,state_pop_5hz050,state_area_5hz050,state_haz_5hz250,state_pop_5hz250,state_area_5hz250,state_haz_1hz050,state_pop_1hz050,state_area_1hz050,state_haz_1hz250,state_pop_1hz250,state_area_1hz250,county_haz_pga050,county_pop_pga050,county_area_pga050,county_haz_pga250,county_pop_pga250,county_area_pga250,county_haz_5hz050,county_pop_5hz050,county_area_5hz050,county_haz_5hz250,county_pop_5hz250,county_area_5hz250,county_haz_1hz050,county_pop_1hz050,county_area_1hz050,county_haz_1hz250,county_pop_1hz250,county_area_1hz250,zone_pga050,seismicity_pga050,c_ca1993,c_bci1993,c_bci2016,c_bciCA16,c_cci1993,c_cci2016,bci2016,avg_c,lag_c,lag_c2,lag_c12,height_dummy,age_dummy,p_obj2,state_name,HazusRegion,fips,CensusRegion,CensusRegionNumber,CensusDivision,fold_id,ytrue,ystruct,ytotal,logy,logys,logyt,ylevel,ystruct16,ystruct19,sp_dummy,bp_dummy,bs_dummy
CA,1983,1984,VH,LS,06013,06,CONTRACOSTA,CONCORD,139,7,37,DAZIGANT,1993-08-19,CONCORD,7,S3,1,0,13450,1945,S2,N,1985,31000,S,MIN,,LS,BF,,,,,,N,N,N,N,IP,I,NE,NE,NE,31000,G,P,P,,,,,,,,,,L,202,80,202,80,24,24,S,,C,N,,G,S,,SF,BF,BF,2.3,1.2006,1,1.20058,37217.9,37217.9,0,0,0,0,0,0,0,0,6,DOD TRISERVICE ,,,1,72,40,3.6888794541139363,0,6,6,S2,VH,7,4,4,N,Medium,1,Contra Costa County,013,42.142857142857146,42.142857142857146,40,60,20,57.5,57.5,55,80,40,70,70,60,120,40,140,140,120,240,80,28.333333333333332,28.333333333333332,27.5,40,15,55,55,55,80,20,34.18723512446855,45132100,423967002108.2162,66.11686940349327,47429860,423967001403.36224,75.32802737994456,45329890,423966994909.0729,150.26934316946497,47422126,423966996209.2671,23.820848584246555,45756721,423967005290.9881,50.305417174539485,48336180,423966993629.4604,38.90180547649782,1236636,2081754197.0103605,75.72688192378195,1160052,2081754210.5616367,103.76115289717086,1361939,2081754227.393332,199.20235294780616,1391115,2081754160.9966393,28.50592786810229,1267888,2081754201.8488226,61.25979098428107,1383045,2081754285.9969318,6,H,37217.979999999996,32977.61559903408,62135.72765572342,125842736.60529998,29933.439149600286,59395.75699204756,1.669508330536032,1.6660235435474964,2.7424811219791647,2.628440802396583,5.370921924375748,Low Rise,Pre-1950,LS,California,West,06,West,4,Pacific,10,2.7671360594795535,2.7671360594795535,2.7671360594795535,1.0178128717966541,1.0178128717966541,1.0178128717966541,37217.979999999996,4.619756703027764,5.021581422458523,H:LS,6:LS,6:H
CA,1983,1984,VH,LS,06013,06,CONTRACOSTA,CONCORD,140,7,12,DAZIGANT,1993-08-19,CONCORD,7,S3,1,0,12960,1945,C2,N,1985,226000,S,MIN,,LS,SW,SD,,,,,N,N,N,N,TR,I,NE,NE,NE,226000,G,P,P,,,,,,,,,,R,162,80,162,80,20,20,S,,ST,N,,G,,C,SF,SW,SW,17.44,1.2006,1,1.20058,271330,271330,0,0,0,0,0,0,0,0,6,DOD TRISERVICE ,,,1,72,40,3.6888794541139363,0,8,8,C2,VH,7,4,4,N,Medium,1,Contra Costa County,013,42.142857142857146,42.142857142857146,40,60,20,57.5,57.5,55,80,40,70,70,60,120,40,140,140,120,240,80,28.333333333333332,28.333333333333332,27.5,40,15,55,55,55,80,20,34.18723512446855,45132100,423967002108.2162,66.11686940349327,47429860,423967001403.36224,75.32802737994456,45329890,423966994909.0729,150.26934316946497,47422126,423966996209.2671,23.820848584246555,45756721,423967005290.9881,50.305417174539485,48336180,423966993629.4604,38.90180547649782,1236636,2081754197.0103605,75.72688192378195,1160052,2081754210.5616367,103.76115289717086,1361939,2081754227.393332,199.20235294780616,1391115,2081754160.9966393,28.50592786810229,1267888,2081754201.8488226,61.25979098428107,1383045,2081754285.9969318,6,H,271331.08,240417.4556574743,452989.4983933386,917434144.2838,218224.42734869893,433014.2283936371,1.669508330536032,1.6660235435474964,2.7424811219791647,2.628440802396583,5.370921924375748,Low Rise,Pre-1950,LS,California,West,06,West,4,Pacific,4,20.93604012345679,20.93604012345679,20.93604012345679,3.0414720817075134,3.0414720817075134,3.0414720817075134,271331.08,34.95289339454773,37.99308305915764,H:LS,8:LS,8:H
CA,1983,1984,VH,LS,06013,06,CONTRACOSTA,CONCORD,141,7,12,DAZIGANT,1993-08-19,CONCORD,7,S3,1,0,10340,1961,S2,N,1985,87000,S,MIN,,LS,EW,SD,,,,,N,N,N,N,TR,I,NE,NE,NE,87000,G,P,P,,,,,,,,,,R,136,76,136,73,16,16,S,,ST,CW,G,,S,,SF,BF,BF,8.41,1.2006,1,1.20058,104450,104450,0,0,0,0,0,0,0,0,6,DOD TRISERVICE ,,,1,56,24,3.1780538303479458,0,6,6,S2,VH,7,4,4,N,Medium,1,Contra Costa County,013,42.142857142857146,42.142857142857146,40,60,20,57.5,57.5,55,80,40,70,70,60,120,40,140,140,120,240,80,28.333333333333332,28.333333333333332,27.5,40,15,55,55,55,80,20,34.18723512446855,45132100,423967002108.2162,66.11686940349327,47429860,423967001403.36224,75.32802737994456,45329890,423966994909.0729,150.26934316946497,47422126,423966996209.2671,23.820848584246555,45756721,423967005290.9881,50.305417174539485,48336180,423966993629.4604,38.90180547649782,1236636,2081754197.0103605,75.72688192378195,1160052,2081754210.5616367,103.76115289717086,1361939,2081754227.393332,199.20235294780616,1391115,2081754160.9966393,28.50592786810229,1267888,2081754201.8488226,61.25979098428107,1383045,2081754285.9969318,6,H,104450.45999999999,92550.08248761177,174380.9130983206,353171551.1180999,84006.7485811363,166691.31800993992,1.669508330536032,1.6660235435474964,2.7424811219791647,2.628440802396583,5.370921924375748,Low Rise,1950-1970,LS,California,West,06,West,4,Pacific,10,10.101591876208897,10.101591876208897,10.101591876208897,2.3126930229336566,2.3126930229336566,2.3126930229336566,104450.45999999999,16.86469178900586,18.331576406968992,H:LS,6:LS,6:H
CA,1983,1984,VH,LS,06013,06,CONTRACOSTA,CONCORD,142,7,14,DAZIGANT,1993-08-19,CONCORD,7,,1,0,8000,1945,C2,N,1985,94000,S,MIN,,LS,EW,,,,,,N,N,N,N,TR,I,NE,NE,NE,94000,G,P,P,,,,,,,,,,OT,204,77,204,36,14,18,C,,C,N,,G,,C,SF,SW,SW,11.75,1.2006,1,1.20058,112854,112854,0,0,0,0,0,0,0,0,6,DOD TRISERVICE ,,,1,72,40,3.6888794541139363,0,8,8,C2,VH,7,4,4,N,Small,1,Contra Costa County,013,42.142857142857146,42.142857142857146,40,60,20,57.5,57.5,55,80,40,70,70,60,120,40,140,140,120,240,80,28.333333333333332,28.333333333333332,27.5,40,15,55,55,55,80,20,34.18723512446855,45132100,423967002108.2162,66.11686940349327,47429860,423967001403.36224,75.32802737994456,45329890,423966994909.0729,150.26934316946497,47422126,423966996209.2671,23.820848584246555,45756721,423967005290.9881,50.305417174539485,48336180,423966993629.4604,38.90180547649782,1236636,2081754197.0103605,75.72688192378195,1160052,2081754210.5616367,103.76115289717086,1361939,2081754227.393332,199.20235294780616,1391115,2081754160.9966393,28.50592786810229,1267888,2081754201.8488226,61.25979098428107,1383045,2081754285.9969318,6,H,112854.52,99996.640848684,188411.56127864524,381587652.93219995,90765.9122600783,180103.2631371765,1.669508330536032,1.6660235435474964,2.7424811219791647,2.628440802396583,5.370921924375748,Low Rise,Pre-1950,LS,California,West,06,West,4,Pacific,4,14.106815000000001,14.106815000000001,14.106815000000001,2.646658013949524,2.646658013949524,2.646658013949524,112854.52,23.551445159830656,25.599941098444805,H:LS,8:LS,8:H
CA,1983,1984,VH,LS,06013,06,CONTRACOSTA,CONCORD,143,7,12,DAZIGANT,1993-08-19,CONCORD,7,,1,0,13130,1945,S2,N,1985,56000,S,MIN,,LS,EW,EF,,,,,N,N,N,N,TR,I,NE,NE,NE,56000,G,P,P,,,,,,,,,,R,152,101,152,101,35,35,S,,ST,N,,G,S,C,,BF,SW,4.27,1.2006,1,1.20058,67232.3,67232.3,0,0,0,0,0,0,0,0,6,DOD TRISERVICE ,,,1,72,40,3.6888794541139363,0,6,6,S2,VH,7,4,4,N,Medium,1,Contra Costa County,013,42.142857142857146,42.142857142857146,40,60,20,57.5,57.5,55,80,40,70,70,60,120,40,140,140,120,240,80,28.333333333333332,28.333333333333332,27.5,40,15,55,55,55,80,20,34.18723512446855,45132100,423967002108.2162,66.11686940349327,47429860,423967001403.36224,75.32802737994456,45329890,423966994909.0729,150.26934316946497,47422126,423966996209.2671,23.820848584246555,45756721,423967005290.9881,50.305417174539485,48336180,423966993629.4604,38.90180547649782,1236636,2081754197.0103605,75.72688192378195,1160052,2081754210.5616367,103.76115289717086,1361939,2081754227.393332,199.20235294780616,1391115,2081754160.9966393,28.50592786810229,1267888,2081754201.8488226,61.25979098428107,1383045,2081754285.9969318,6,H,67232.48,59572.4668885777,112245.18544259715,227328814.51279998,54073.30943153601,107295.56101789237,1.669508330536032,1.6660235435474964,2.7424811219791647,2.628440802396583,5.370921924375748,Low Rise,Pre-1950,LS,California,West,06,West,4,Pacific,1,5.120523990860624,5.120523990860624,5.120523990860624,1.6332567757798004,1.6332567757798004,1.6332567757798004,67232.48,8.548757459451421,9.292325203045868,H:LS,6:LS,6:H
CA,1983,1984,VH,LS,06013,06,CONTRACOSTA,CONCORD,144,7,13,DAZIGANT,1993-08-19,CONCORD,7,,3,0,60500,1945,C2,N,1985,128000,S,MIN,,LS,EW,SD,,,,,N,N,N,N,TR,I,NE,NE,NE,128000,G,P,P,,,,,,,,,,OT,233,50,,,11,33,C,C,C,N,,G,,C,SF,SW,SW,2.12,1.2006,1,1.20058,153674,153674,0,0,0,0,0,0,0,0,6,DOD TRISERVICE ,,,3,72,40,3.6888794541139363,0,8,8,C2,VH,7,4,4,N,Large,1,Contra Costa County,013,42.142857142857146,42.142857142857146,40,60,20,57.5,57.5,55,80,40,70,70,60,120,40,140,140,120,240,80,28.333333333333332,28.333333333333332,27.5,40,15,55,55,55,80,20,34.18723512446855,45132100,423967002108.2162,66.11686940349327,47429860,423967001403.36224,75.32802737994456,45329890,423966994909.0729,150.26934316946497,47422126,423966996209.2671,23.820848584246555,45756721,423967005290.9881,50.305417174539485,48336180,423966993629.4604,38.90180547649782,1236636,2081754197.0103605,75.72688192378195,1160052,2081754210.5616367,103.76115289717086,1361939,2081754227.393332,199.20235294780616,1391115,2081754160.9966393,28.50592786810229,1267888,2081754201.8488226,61.25979098428107,1383045,2081754285.9969318,6,H,153674.24,136165.6386024633,256560.4238687935,519608718.8863999,123596.13584351087,245246.99661232543,1.669508330536032,1.6660235435474964,2.7424811219791647,2.628440802396583,5.370921924375748,Low Rise,Pre-1950,LS,California,West,06,West,4,Pacific,2,2.540070082644628,2.540070082644628,2.540070082644628,0.9321916722421775,0.9321916722421775,0.9321916722421775,153674.24,4.240668163120554,4.60951990237515,H:LS,8:LS,8:H
CA,1983,1984,VH,LS,06013,06,CONTRACOSTA,CONCORD,145,7,37,DAZIGANT,1993-08-19,CONCORD,7,,2,0,6930,1945,C2,N,1985,62000,S,MIN,,LS,EW,,,,,,N,N,N,N,IP,I,NE,NE,NE,62000,G,P,P,,,,,,,,,,R,69,50,69,50,14,26,C,C,C,N,,G,,C,SF,SW,SW,8.95,1.2006,1,1.20058,74435.8,74435.8,0,0,0,0,0,0,0,0,6,DOD TRISERVICE ,,,2,72,40,3.6888794541139363,0,8,8,C2,VH,7,4,4,N,Small,1,Contra Costa County,013,42.142857142857146,42.142857142857146,40,60,20,57.5,57.5,55,80,40,70,70,60,120,40,140,140,120,240,80,28.333333333333332,28.333333333333332,27.5,40,15,55,55,55,80,20,34.18723512446855,45132100,423967002108.2162,66.11686940349327,47429860,423967001403.36224,75.32802737994456,45329890,423966994909.0729,150.26934316946497,47422126,423966996209.2671,23.820848584246555,45756721,423967005290.9881,50.305417174539485,48336180,423966993629.4604,38.90180547649782,1236636,2081754197.0103605,75.72688192378195,1160052,2081754210.5616367,103.76115289717086,1361939,2081754227.393332,199.20235294780616,1391115,2081754160.9966393,28.50592786810229,1267888,2081754201.8488226,61.25979098428107,1383045,2081754285.9969318,6,H,74435.95999999999,65955.23119806816,124271.45531144684,251685473.21059996,59866.87829920057,118791.51398409512,1.669508330536032,1.6660235435474964,2.7424811219791647,2.628440802396583,5.370921924375748,Low Rise,Pre-1950,LS,California,West,06,West,4,Pacific,8,10.741119769119768,10.741119769119768,10.741119769119768,2.374079345202636,2.374079345202636,2.374079345202636,74435.95999999999,17.932388933830715,19.49214145225603,H:LS,8:LS,8:H
CA,1983,1984,VH,LS,06013,06,CONTRACOSTA,CONCORD,146,7,12,DAZIGANT,1993-08-19,CONCORD,7,,1,0,10300,1945,C2,N,1985,93000,S,MIN,,LS,SW,SD,,,,,N,N,N,N,TR,I,NE,NE,NE,93000,G,P,P,,,,,,,,,,R,202,51,202,51,15,20,S,,ST,N,,G,,C,SF,SW,SW,9.03,1.2006,1,1.20058,111654,111654,0,0,0,0,0,0,0,0,6,DOD TRISERVICE ,,,1,72,40,3.6888794541139363,0,8,8,C2,VH,7,4,4,N,Medium,1,Contra Costa County,013,42.142857142857146,42.142857142857146,40,60,20,57.5,57.5,55,80,40,70,70,60,120,40,140,140,120,240,80,28.333333333333332,28.333333333333332,27.5,40,15,55,55,55,80,20,34.18723512446855,45132100,423967002108.2162,66.11686940349327,47429860,423967001403.36224,75.32802737994456,45329890,423966994909.0729,150.26934316946497,47422126,423966996209.2671,23.820848584246555,45756721,423967005290.9881,50.305417174539485,48336180,423966993629.4604,38.90180547649782,1236636,2081754197.0103605,75.72688192378195,1160052,2081754210.5616367,103.76115289717086,1361939,2081754227.393332,199.20235294780616,1391115,2081754160.9966393,28.50592786810229,1267888,2081754201.8488226,61.25979098428107,1383045,2081754285.9969318,6,H,111653.94,98932.84679710225,186407.1829671703,377528209.81589997,89800.31744880088,178187.2709761427,1.669508330536032,1.6660235435474964,2.7424811219791647,2.628440802396583,5.370921924375748,Low Rise,Pre-1950,LS,California,West,06,West,4,Pacific,10,10.840188349514563,10.840188349514563,10.840188349514563,2.383260371277022,2.383260371277022,2.383260371277022,111653.94,18.097784754094203,19.67192333943703,H:LS,8:LS,8:H
CA,1983,1984,VH,LS,06013,06,CONTRACOSTA,CONCORD,147,7,14,DAZIGANT,1993-08-19,CONCORD,7,,1,0,12000,1945,C2,N,1985,119000,S,MIN,,LS,EW,,,,,,N,N,N,N,TR,I,NE,NE,NE,119000,G,P,P,,,,,,,,,,O,170,105,170,105,12,12,C,,C,N,,G,,C,SF,SW,SW,9.92,1.2006,1,1.20058,142869,142869,0,0,0,0,0,0,0,0,6,DOD TRISERVICE ,,,1,72,40,3.6888794541139363,0,8,8,C2,VH,7,4,4,N,Medium,1,Contra Costa County,013,42.142857142857146,42.142857142857146,40,60,20,57.5,57.5,55,80,40,70,70,60,120,40,140,140,120,240,80,28.333333333333332,28.333333333333332,27.5,40,15,55,55,55,80,20,34.18723512446855,45132100,423967002108.2162,66.11686940349327,47429860,423967001403.36224,75.32802737994456,45329890,423966994909.0729,150.26934316946497,47422126,423966996209.2671,23.820848584246555,45756721,423967005290.9881,50.305417174539485,48336180,423966993629.4604,38.90180547649782,1236636,2081754197.0103605,75.72688192378195,1160052,2081754210.5616367,103.76115289717086,1361939,2081754227.393332,199.20235294780616,1391115,2081754160.9966393,28.50592786810229,1267888,2081754201.8488226,61.25979098428107,1383045,2081754285.9969318,6,H,142869.02,126591.49213822761,238521.01906551895,483073730.8396999,114905.78254201401,228003.06716302127,1.669508330536032,1.6660235435474964,2.7424811219791647,2.628440802396583,5.370921924375748,Low Rise,Pre-1950,LS,California,West,06,West,4,Pacific,3,11.905751666666665,11.905751666666665,11.905751666666665,2.477021616682885,2.477021616682885,2.477021616682885,142869.02,19.876751588793248,21.605624047623625,H:LS,8:LS,8:H
CA,1983,1984,VH,LS,06025,06,IMPERIAL,IMPERIAL,148,7,12,GSA,1993-06-23,IMPERIAL,7,S2,2,1,12800,1932,URM,N,1985,96000,S,MIN,,LS,SD,SF,WT,,,,N,N,N,N,TR,I,I,NE,NE,81217,G,P,P,,,,,,,,,,R,95,45,95,45,11,42,W,W,W,N,N,F,C,URM,SF,SW,SW,6.35,1.2006,1,1.20058,115255,97507.2,0,0,0,0,0,0,0,0,5,UBC 1985,,,3,85,53,3.970291913552122,0,1,1,URM,VH,7,4,4,N,Medium,0,Imperial County,025,40.23529411764706,40.23529411764706,30,100,7,68.3076923076923,68.3076923076923,50,160,14,72.83333333333333,72.83333333333333,55,200,16,169.77777777777777,169.77777777777777,120,400,28,25.333333333333332,25.333333333333332,22.5,60,7,52.63157894736842,52.63157894736842,50,120,12,34.18723512446855,45132100,423967002108.2162,66.11686940349327,47429860,423967001403.36224,75.32802737994456,45329890,423966994909.0729,150.26934316946497,47422126,423966996209.2671,23.820848584246555,45756721,423967005290.9881,50.305417174539485,48336180,423966993629.4604,52.50424535476103,431263,11607535710.39492,82.71177797051065,371674,11607539191.168701,129.64513681070622,424462,11607533689.601702,208.2445289568026,450992,11607536785.748833,36.298237955973654,359388,11607540368.863937,68.92220670493627,465994,11607536840.193487,7,VH,97507.50586,86398.16148731456,162789.59332306098,329695791.5765371,78422.71378751894,155611.13534268152,1.669508330536032,1.6660235435474964,2.7424811219791647,2.628440802396583,5.370921924375748,Low Rise,Pre-1950,LS,California,West,06,West,4,Pacific,1,7.6177738953125,7.6177738953125,9.004349999999999,2.030484187294664,2.030484187294664,2.1977077939016207,97507.50586,12.717936978364138,13.82413840553452,VH:LS,1:LS,1:VH
CA,1983,1984,VH,LS,06037,06,LOSANGELES,LOSANGELES,149,1,6,SANTAMONICABandS,1993-07-01,LOSANGELES,7,S3,3,0,19300,1890,URM,N,1985,100000,AC,MIN,,LS,SW,BF,EW,EF,SD,PB,N,N,N,N,TR,I,I,OK,OK,100000,G,F,F,,,,15,0,0,0,0,0,OT,150,40,150,40,14,40,W,W,W,N,N,F,S,URM,SF,SW,SW,5.18,1.2006,1,1.20058,120058,120058,0,0,0,0,0,0,0,0,7,UCBC (2/3 CURRENT UBC LAT FOR),,,3,127,95,4.553876891600541,0,1,1,URM,VH,7,4,4,N,Medium,0,Los Angeles County,037,46.666666666666664,46.666666666666664,60,80,10,66.66666666666667,66.66666666666667,50,160,20,98.46153846153847,98.46153846153847,80,200,20,191.76470588235293,191.76470588235293,160,320,40,24.285714285714285,24.285714285714285,20,60,6,65.15789473684211,65.15789473684211,60,120,14,34.18723512446855,45132100,423967002108.2162,66.11686940349327,47429860,423967001403.36224,75.32802737994456,45329890,423966994909.0729,150.26934316946497,47422126,423966996209.2671,23.820848584246555,45756721,423967005290.9881,50.305417174539485,48336180,423966993629.4604,36.61228905933774,10582431,12304891356.259628,72.64368139591092,10879291,12304891051.369976,79.05632692003883,10450729,12304891149.481728,160.81564212760642,10482465,12304891102.386234,24.731621020350556,10993526,12304891175.311916,54.01689078899825,11030840,12304891713.410877,6,H,120058,106379.40515817446,200437.83114749493,405944311.62999994,96559.48112774288,191599.21610337924,1.669508330536032,1.6660235435474964,2.7424811219791647,2.628440802396583,5.370921924375748,Low Rise,Pre-1950,LS,California,West,06,West,4,Pacific,3,6.220621761658031,6.220621761658031,6.220621761658031,1.8278698634366077,1.8278698634366077,1.8278698634366077,120058,10.38537985220181,11.288696328274636,H:LS,1:LS,1:H
CA,1983,1984,VH,LS,06037,06,LOSANGELES,LOSANGELES,150,4,35,SANTAMONICABandS,1993-07-01,LOSANGELES,7,S3,1,0,400,1920,URM,N,1985,9000,AC,MIN,,LS,SD,PB,WT,,,,N,N,N,N,IP,I,I,OK,OK,9000,G,F,F,,,,3,0,0,0,0,0,R,22,20,22,20,12,12,W,,W,N,N,F,,URM,SF,SW,SW,22.5,1.2006,1,1.20058,10805.2,10805.2,0,0,0,0,0,0,0,0,7,UCBC (2/3 CURRENT UBC LAT FOR),,,1,97,65,4.174387269895637,0,1,1,URM,VH,7,4,4,N,Small,0,Los Angeles County,037,46.666666666666664,46.666666666666664,60,80,10,66.66666666666667,66.66666666666667,50,160,20,98.46153846153847,98.46153846153847,80,200,20,191.76470588235293,191.76470588235293,160,320,40,24.285714285714285,24.285714285714285,20,60,6,65.15789473684211,65.15789473684211,60,120,14,34.18723512446855,45132100,423967002108.2162,66.11686940349327,47429860,423967001403.36224,75.32802737994456,45329890,423966994909.0729,150.26934316946497,47422126,423966996209.2671,23.820848584246555,45756721,423967005290.9881,50.305417174539485,48336180,423966993629.4604,36.61228905933774,10582431,12304891356.259628,72.64368139591092,10879291,12304891051.369976,79.05632692003883,10450729,12304891149.481728,160.81564212760642,10482465,12304891102.386234,24.731621020350556,10993526,12304891175.311916,54.01689078899825,11030840,12304891713.410877,6,H,10805.22,9574.1464642357,18039.404803274545,36534988.04669999,8690.353301496858,17243.92944930413,1.669508330536032,1.6660235435474964,2.7424811219791647,2.628440802396583,5.370921924375748,Low Rise,Pre-1950,LS,California,West,06,West,4,Pacific,7,27.01305,27.01305,27.01305,3.2963200825697307,3.2963200825697307,3.2963200825697307,10805.22,45.09851200818636,49.0211638055326,H:LS,1:LS,1:H
CA,1983,1984,VH,LS,06037,06,LOSANGELES,LOSANGELES,151,4,11,SANTAMONICABandS,1993-07-01,LOSANGELES,7,S3,1,0,700,1920,URM,N,1985,10000,AC,MIN,,LS,BF,SD,PB,WT,,,N,N,N,N,V,I,I,OK,OK,10000,G,F,F,,,,6,0,0,0,0,0,R,34,21,34,21,18,20,W,,W,N,N,F,,URM,SF,SW,SW,14.29,1.2006,1,1.20058,12005.8,12005.8,0,0,0,0,0,0,0,0,7,UCBC (2/3 CURRENT UBC LAT FOR),,,1,97,65,4.174387269895637,0,1,1,URM,VH,7,4,4,N,Small,0,Los Angeles County,037,46.666666666666664,46.666666666666664,60,80,10,66.66666666666667,66.66666666666667,50,160,20,98.46153846153847,98.46153846153847,80,200,20,191.76470588235293,191.76470588235293,160,320,40,24.285714285714285,24.285714285714285,20,60,6,65.15789473684211,65.15789473684211,60,120,14,34.18723512446855,45132100,423967002108.2162,66.11686940349327,47429860,423967001403.36224,75.32802737994456,45329890,423966994909.0729,150.26934316946497,47422126,423966996209.2671,23.820848584246555,45756721,423967005290.9881,50.305417174539485,48336180,423966993629.4604,36.61228905933774,10582431,12304891356.259628,72.64368139591092,10879291,12304891051.369976,79.05632692003883,10450729,12304891149.481728,160.81564212760642,10482465,12304891102.386234,24.731621020350556,10993526,12304891175.311916,54.01689078899825,11030840,12304891713.410877,6,H,12005.8,10637.940515817445,20043.783114749494,40594431.162999995,9655.948112774287,19159.921610337922,1.669508330536032,1.6660235435474964,2.7424811219791647,2.628440802396583,5.370921924375748,Low Rise,Pre-1950,LS,California,West,06,West,4,Pacific,8,17.151142857142855,17.151142857142855,17.151142857142855,2.842064810292134,2.842064810292134,2.842064810292134,12005.8,28.63397587821356,31.124548447957203,H:LS,1:LS,1:H
CA,1983,1984,VH,LS,06037,06,LOSANGELES,LOSANGELES,152,7,12,SANTAMONICABandS,1993-07-01,LOSANGELES,7,S3,1,0,7500,1926,URM,N,1985,35000,AC,MIN,,LS,EF,SD,PB,WT,,,N,N,N,N,V,I,I,OK,OK,35000,G,F,F,,,,4,0,0,0,0,0,R,150,50,150,50,14,16,W,,W,N,N,F,W,URM,SF,SW,SW,4.67,1.2006,1,1.20058,42020.2,42020.2,0,0,0,0,0,0,0,0,7,UCBC (2/3 CURRENT UBC LAT FOR),,,1,91,59,4.07753744390572,0,1,1,URM,VH,7,4,4,N,Small,0,Los Angeles County,037,46.666666666666664,46.666666666666664,60,80,10,66.66666666666667,66.66666666666667,50,160,20,98.46153846153847,98.46153846153847,80,200,20,191.76470588235293,191.76470588235293,160,320,40,24.285714285714285,24.285714285714285,20,60,6,65.15789473684211,65.15789473684211,60,120,14,34.18723512446855,45132100,423967002108.2162,66.11686940349327,47429860,423967001403.36224,75.32802737994456,45329890,423966994909.0729,150.26934316946497,47422126,423966996209.2671,23.820848584246555,45756721,423967005290.9881,50.305417174539485,48336180,423966993629.4604,36.61228905933774,10582431,12304891356.259628,72.64368139591092,10879291,12304891051.369976,79.05632692003883,10450729,12304891149.481728,160.81564212760642,10482465,12304891102.386234,24.731621020350556,10993526,12304891175.311916,54.01689078899825,11030840,12304891713.410877,6,H,42020.3,37232.79180536106,70153.24090162324,142080509.0705,33795.81839471001,67059.72563618275,1.669508330536032,1.6660235435474964,2.7424811219791647,2.628440802396583,5.370921924375748,Low Rise,Pre-1950,LS,California,West,06,West,4,Pacific,5,5.602706666666667,5.602706666666667,5.602706666666667,1.7232498143065051,1.7232498143065051,1.7232498143065051,42020.3,9.353765453549764,10.167352492999354,H:LS,1:LS,1:H
